id,canonicalName,category,synonyms,volumeFactor,requiresTwoPerson,isFragile,requiresDisassembly,basePriceHint
bed-king,King Bed Frame,beds,"king bed, 5ft bed, king size",1.4,true,false,true,42
bed-super-king,Super King Bed Frame,beds,"super king bed, 6ft bed",1.6,true,false,true,48
mattress,Mattress (any size),beds,"mattress, single mattress, double mattress, king mattress",0.8,true,false,false,22
bed-bunk,Bunk Bed,beds,"bunk, kids bunk, bunk bed",2.0,true,false,true,58
bedside-table,Bedside Table,beds,"nightstand, bedside",0.4,false,false,false,12
divan-base,Divan Base,beds,"divan, bed base, storage bed",1.0,true,false,false,35
headboard,Headboard,beds,"headboard, bed head",0.6,false,false,false,18
bed-toddler,Toddler Bed,beds,"toddler bed, junior bed, kids bed",0.8,false,false,true,22
cot-baby,Baby Cot,beds,"cot, baby bed, crib",0.8,false,false,true,25
moses-basket,Moses Basket,beds,"moses basket, baby basket",0.3,false,false,false,12
bed-cabin,Cabin Bed,beds,"high sleeper, kids cabin bed",1.6,true,false,true,50
bed-guest,Guest Bed (foldable),beds,"foldaway bed, spare bed",0.9,false,false,true,26
bed-4poster,Four Poster Bed,beds,"4 poster bed, canopy bed",2.2,true,false,true,75
mattress-topper,Mattress Topper,beds,"memory foam topper, pad",0.2,false,false,false,8
bed-storage,Storage Bed (ottoman),beds,"ottoman bed, lift up storage bed",1.6,true,false,true,55
bed-small-double,Small Double Bed Frame,beds,"small double, 4ft bed",1.2,true,false,true,38
bed-emperor,Emperor Bed Frame,beds,"emperor bed, 6ft6 bed",2.0,true,false,true,90
bed-ottoman-large,Large Ottoman Bed,beds,"ottoman storage bed, gas lift bed",1.8,true,false,true,65
bed-murphy,Murphy Bed/Wall Bed,beds,"wall bed, fold down bed",2.0,true,false,true,100
mattress-pillow-top,Pillow Top Mattress,beds,"pillow top, soft mattress",0.9,true,false,false,35
mattress-pocket-sprung,Pocket Sprung Mattress,beds,"pocket sprung, orthopaedic",0.9,true,false,false,38
mattress-single,Single Mattress,beds,"3ft mattress",0.6,false,false,false,18
mattress-double,Double Mattress,beds,"4ft6 mattress",0.8,true,false,false,25
mattress-king,King Size Mattress,beds,"5ft mattress",0.8,true,false,false,25
mattress-super-king,Super King Mattress,beds,"6ft mattress",1.0,true,false,false,32
bed-frame-metal,Metal Bed Frame,beds,"iron bedstead",1.2,true,false,true,40
bed-frame-wooden,Wooden Bed Frame,beds,"pine bed, oak bed",1.4,true,false,true,45
bed-adjustable,Adjustable Bed,beds,"electric bed, hospital bed",1.8,true,false,true,120
bed-trundle,Trundle Bed,beds,"truckle bed, pull out bed",1.4,true,false,true,48
cot-bed,Cot Bed,beds,"convertible cot, toddler cot",1.0,false,false,true,35
baby-changing-unit,Baby Changing Unit,beds,"changing table, nappy station",0.8,false,false,false,28
wardrobe-2door,Wardrobe – 2-door,storage,"small wardrobe, 2 door wardrobe, closet",1.4,true,false,true,40
wardrobe-3door,Wardrobe – 3-door/Sliding,storage,"sliding wardrobe, large wardrobe, 3 door wardrobe",2.0,true,false,true,60
wardrobe-fitted,Fitted Wardrobe Panel,storage,"fitted wardrobe, built in wardrobe panel",1.2,true,false,true,45
dresser,Chest of Drawers,storage,"dresser, drawer unit, chest",1.0,false,false,false,24
tallboy,Tallboy Chest,storage,"tallboy, tall chest, tall drawers",1.2,true,false,false,35
bookshelf-tall,Bookshelf (tall),storage,"bookcase, tall shelf, shelf",0.9,true,false,false,28
bookshelf-short,Bookshelf (short),storage,"short bookcase, low shelf",0.6,false,false,false,18
sideboard,Sideboard/Dresser,storage,"sideboard, buffet",1.6,true,false,false,48
filing-cabinet,Filing Cabinet,storage,"file cabinet, office cabinet",0.7,false,false,false,34
shoe-rack,Shoe Rack,storage,"shoe cabinet, shoe shelf",0.4,false,false,false,12
storage-unit,Storage Unit,storage,"storage box, plastic storage, storage tower",0.6,false,false,false,16
blanket-box,Blanket Box,storage,"ottoman storage, blanket chest, toy box",0.8,false,false,false,22
display-cabinet,Display Cabinet,storage,"china cabinet, glass cabinet, display unit",1.4,true,true,false,42
linen-cupboard,Linen Cupboard,storage,"airing cupboard, linen closet",1.6,true,false,true,45
wardrobe-child,Children's Wardrobe,storage,"kids wardrobe, small closet",1.0,false,false,true,30
chest-antique,Antique Blanket Chest,storage,"hope chest, vintage chest",1.0,true,false,false,38
ikea-pax-unit,IKEA PAX Wardrobe Unit,storage,"pax frame, ikea wardrobe",1.6,true,false,true,45
ikea-kallax-unit,IKEA KALLAX Shelf Unit,storage,"kallax, ikea shelving, expedit",0.8,false,false,false,22
ikea-malm-dresser,IKEA MALM Dresser,storage,"malm chest, ikea drawers",1.0,false,false,false,25
ottoman-storage-large,Large Storage Ottoman,storage,"storage bench, toy chest",0.9,false,false,false,25
cd-dvd-tower,CD/DVD Tower,storage,"media storage, cd rack",0.3,false,false,false,10
wine-rack,Wine Rack (floor standing),storage,"wine storage, bottle rack",0.5,false,true,false,15
coat-rack-standalone,Standalone Coat Rack,storage,"hall stand, hat stand",0.5,false,false,false,14
basket-weave,Large Wicker Basket,storage,"basket, storage basket, hamper",0.4,false,false,false,10
wardrobe-4door,4-Door Wardrobe,storage,"large fitted wardrobe, sliding door",2.4,true,false,true,75
wardrobe-cantor,Cantor (Hinged Door),storage,"cantor wardrobe, hinged door closet",1.8,true,false,true,55
chest-of-drawers-5,5-Drawer Chest,storage,"large chest, tall chest of drawers",1.4,true,false,false,42
chest-of-drawers-3,3-Drawer Chest,storage,"small chest, bedside chest",0.8,false,false,false,20
blanket-chest-storage,Blanket Chest with Cushion,storage,"storage ottoman, seat chest",0.9,false,false,false,26
bookcase-corner,Corner Bookcase,storage,"corner unit, angle shelf",0.7,false,false,false,20
bookcase-glass-door,Bookcase with Glass Doors,storage,"display bookcase, cabinet",1.1,true,true,false,35
cabinet-display-tall,Tall Display Cabinet,storage,"curio cabinet, trophy case",1.5,true,true,false,50
cabinet-filing-lateral,Lateral Filing Cabinet,storage,"side filing cabinet",1.0,true,false,false,38
cabinet-metal-locker,Metal Locker,storage,"school locker, gym locker",0.9,false,false,false,25
cabinet-bathroom,Bathroom Storage Cabinet,storage,"bathroom cupboard, medicine cabinet",0.5,false,false,false,16
cabinet-kitchen-pantry,Kitchen Pantry Cabinet,storage,"pantry unit, larder cupboard",1.4,true,false,true,45
cart-filing-mobile,Mobile Filing Cart,storage,"filing trolley, document cart",0.4,false,false,false,15
cart-utility,Utility Cart,storage,"service cart, trolley",0.5,false,false,false,14
chest-tool,Tool Chest,storage,"mechanics chest, tool storage",0.8,true,false,false,30
chest-toy,Toy Chest,storage,"kids toy box, storage bin",0.6,false,false,false,18
cupboard-under-stairs,Under Stairs Cupboard,storage,"cupboard, storage cupboard",1.8,true,false,true,50
dresser-vanity,Vanity Dresser,storage,"dressing table with mirror",1.2,false,false,false,35
etagere-shelf,Etagere Shelf,storage,"standing shelf, display stand",0.6,false,false,false,18
hutch-display,Display Hutch,storage,"hutch, top cabinet",1.2,true,false,true,40
locker-gym,Gym Locker,storage,"sports locker, changing locker",0.8,false,false,false,22
organiser-closet,Closet Organiser,storage,"wardrobe organizer, shelf system",0.7,false,false,true,20
organiser-jewelry,Jewelry Armoire,storage,"jewelry box, jewelry cabinet",0.5,false,false,false,22
rack-bike-floor,Floor Bike Rack,storage,"bicycle stand, bike storage",0.5,false,false,false,15
rack-coat-wall,Wall Mounted Coat Rack,storage,"coat hooks, entryway organizer",0.2,false,false,false,8
rack-magazine,Magazine Rack,storage,"newspaper holder, document rack",0.2,false,false,false,6
rack-shoe-wall,Wall Mounted Shoe Rack,storage,"shoe organizer, hanging rack",0.3,false,false,false,10
rack-tie-belt,Tie and Belt Rack,storage,"accessory organizer",0.1,false,false,false,5
shelf-floating,Floating Shelf,storage,"wall shelf, bracket shelf",0.2,false,false,false,6
shelf-ladder,Ladder Shelf,storage,"leaning shelf, bookcase",0.9,true,false,false,28
shelf-over-toilet,Over Toilet Shelf,storage,"bathroom storage shelf",0.4,false,false,false,12
shelf-wall,Wall Shelf Unit,storage,"shelving unit, wall brackets",0.5,false,false,false,15
stand-umbrella,Umbrella Stand,storage,"hall stand, cane holder",0.3,false,false,false,10
storage-bench,Storage Bench,storage,"hall bench with storage, seat box",0.9,false,false,false,26
tower-cd-dvd,CD/DVD Tower,storage,"media storage tower",0.4,false,false,false,12
trunk-vintage,Vintage Trunk,storage,"travel trunk, storage trunk",0.9,true,false,false,30
vanity-dressing,Dressing Table Vanity,storage,"makeup table, vanity table",1.0,false,false,false,30
wardrobe-armoire,Armoire Wardrobe,storage,"freestanding wardrobe, cabinet",1.6,true,false,true,50
wardrobe-double,Double Wardrobe,storage,"2 door wardrobe",1.4,true,false,true,42
wardrobe-single,Single Wardrobe,storage,"1 door wardrobe",1.0,false,false,true,32
wardrobe-triple,Triple Wardrobe,storage,"3 door wardrobe",2.0,true,false,true,60
fridge-standard,Fridge Freezer (standard),appliances,"fridge, refrigerator, freezer, fridge freezer",1.6,true,false,false,45
fridge-american,American Fridge Freezer,appliances,"american fridge, large fridge, american style fridge",2.5,true,false,false,80
fridge-under-counter,Under Counter Fridge,appliances,"small fridge, mini fridge, compact fridge",0.8,false,false,false,25
freezer-chest,Chest Freezer,appliances,"chest freezer, deep freeze",1.4,true,false,false,40
freezer-upright,Upright Freezer,appliances,"upright freezer, tall freezer",1.6,true,false,false,45
washing-machine,Washing Machine,appliances,"washing machine, washer",1.4,true,false,false,45
dishwasher,Dishwasher,appliances,"dishwasher",1.4,true,false,false,45
dryer,Tumble Dryer,appliances,"tumble dryer, dryer",1.4,true,false,false,45
washer-dryer,Washer Dryer,appliances,"washer dryer, combo unit",1.6,true,false,false,50
cooker,Cooker/Oven,appliances,"cooker, oven, stove",1.5,true,false,false,40
range-cooker,Range Cooker,appliances,"range cooker, aga, large cooker",2.2,true,false,false,70
hob,Hob,appliances,"cooking hob, cooktop",0.4,false,true,false,20
extractor-hood,Extractor Hood,appliances,"cooker hood, extractor fan",0.6,false,false,false,18
microwave,Microwave,appliances,"microwave, oven microwave",0.3,false,false,false,18
bbq-standard,BBQ Grill (standard),appliances,"bbq grill, barbecue",0.8,false,false,false,22
bbq-smoker,BBQ Smoker (large),appliances,"bbq smoker, smoker",1.6,true,false,false,45
boiler,Boiler,appliances,"central heating boiler, gas boiler",1.2,true,false,true,55
radiator,Radiator,appliances,"central heating radiator, heater",0.6,true,false,false,20
water-heater,Water Heater,appliances,"hot water tank, immersion heater",1.4,true,false,false,40
dehumidifier,Dehumidifier,appliances,"dehumidifier, moisture remover",0.4,false,false,false,15
air-purifier,Air Purifier,appliances,"air cleaner, filter",0.3,false,false,false,12
air-fryer,Air Fryer,appliances,"deep fryer, healthy fryer",0.2,false,false,false,8
bread-maker,Bread Maker,appliances,"bread machine",0.4,false,false,false,10
coffee-machine-espresso,Espresso Machine,appliances,"coffee maker, nespresso, delonghi",0.3,false,true,false,15
food-processor,Food Processor,appliances,"mixer, blender, kitchen whiz",0.3,false,false,false,12
slow-cooker,Slow Cooker,appliances,"crock pot",0.2,false,false,false,8
steam-oven,Steam Oven (countertop),appliances,"combi oven, steam cooker",0.5,false,false,false,18
water-dispenser,Water Dispenser (standalone),appliances,"water cooler",0.6,false,false,false,16
vacuum-robot,Robot Vacuum,appliances,"roomba, robovac",0.2,false,true,false,10
cooker-gas,Gas Cooker,appliances,"gas stove, gas oven",1.5,true,false,false,42
cooker-electric,Electric Cooker,appliances,"electric stove, electric oven",1.5,true,false,false,42
cooker-dual-fuel,Dual Fuel Cooker,appliances,"gas hob electric oven",1.5,true,false,false,45
oven-single,Single Oven,appliances,"built-in oven, electric oven",0.8,true,false,false,30
oven-double,Double Oven,appliances,"twin oven, double built-in",1.2,true,false,false,50
oven-combination,Combination Microwave Oven,appliances,"combi oven, microwave grill",0.5,false,false,false,22
hob-gas,Gas Hob,appliances,"gas cooktop, gas burner",0.4,false,true,false,20
hob-electric,Electric Hob,appliances,"electric cooktop, ceramic hob",0.4,false,true,false,20
hob-induction,Induction Hob,appliances,"induction cooktop",0.4,false,true,false,25
hood-chimney,Chimney Hood,appliances,"chimney extractor, canopy hood",0.7,true,false,false,30
hood-integrated,Integrated Hood,appliances,"built-in hood, hidden extractor",0.5,false,false,false,20
hood-island,Island Hood,appliances,"ceiling extractor, island extractor",0.8,true,false,false,35
fridge-counter-depth,Counter Depth Fridge,appliances,"built-in fridge, integrated fridge",1.6,true,false,false,50
fridge-side-by-side,Side by Side Fridge,appliances,"double door fridge, side by side",2.0,true,false,false,70
fridge-wine-cooler,Fridge with Wine Cooler,appliances,"wine fridge, cooler fridge",1.8,true,false,false,65
freezer-table-top,Table Top Freezer,appliances,"small freezer, countertop freezer",0.7,false,false,false,25
freezer-integrated,Integrated Freezer,appliances,"built-in freezer",1.2,true,false,false,40
washer-integrated,Integrated Washing Machine,appliances,"built-in washer",1.2,true,false,false,48
dryer-condenser,Condenser Tumble Dryer,appliances,"condenser dryer, ventless dryer",1.4,true,false,false,48
dryer-vented,Vented Tumble Dryer,appliances,"vented dryer",1.4,true,false,false,45
dryer-heat-pump,Heat Pump Dryer,appliances,"heat pump dryer, energy efficient",1.4,true,false,false,55
dishwasher-compact,Compact Dishwasher,appliances,"small dishwasher, slimline",1.0,false,false,false,35
dishwasher-integrated,Integrated Dishwasher,appliances,"built-in dishwasher",1.2,true,false,false,50
dishwasher-slimline,Slimline Dishwasher,appliances,"narrow dishwasher",1.0,true,false,false,38
water-softener,Water Softener,appliances,"softener unit, salt softener",1.2,true,false,false,60
water-filter,Water Filter System,appliances,"under sink filter, purifier",0.4,false,false,false,20
waste-disposer,Waste Disposer Unit,appliances,"garbage disposal, sink disposal",0.3,false,false,false,15
table-dining-4,Dining Table (4 seats),tables,"dining table, 4 seater table, kitchen table",1.4,true,false,true,38
table-dining-6,Dining Table (6-8 seats),tables,"large dining table, 6 seater table, 8 seater table",2.2,true,false,true,58
table-coffee,Coffee Table,tables,"coffee table, center table",0.6,false,false,false,18
table-console,Console Table,tables,"console table, hallway table",0.8,false,false,false,22
desk-office,Office Desk,tables,"office desk, desk, computer desk",1.2,true,false,true,30
table-conference,Conference Table (large),tables,"conference table, meeting table large",3.2,true,false,true,95
chair-indoor,Chair (indoor),tables,"chair, dining chair",0.3,false,false,false,12
chair-garden,Garden Chair,outdoor,"garden chair, patio chair",0.3,false,false,false,10
patio-table,Patio Table,outdoor,"outdoor table, garden table",1.0,false,false,false,22
side-table,Side Table,tables,"lamp table, end table, occasional table",0.4,false,false,false,14
nest-tables,Nest of Tables,tables,"nesting tables, nested tables",0.5,false,false,false,18
desk-writing,Writing Desk,tables,"writing desk, secretary desk, small desk",0.8,false,false,false,24
dressing-table,Dressing Table,tables,"vanity table, makeup table, dressing unit",1.0,false,false,false,28
bar-table,Bar Table,tables,"breakfast bar, high table, pub table",0.8,false,false,false,22
folding-table,Folding Table,tables,"fold up table, trestle table",0.6,false,false,false,16
table-kitchen,Kitchen Table,tables,"breakfast table, nook table",1.0,false,false,false,25
table-picnic,Picnic Table (foldable),outdoor,"garden picnic table",1.4,true,false,true,35
table-bedside,Bedside Cabinet,tables,"nightstand, bedside table",0.4,false,false,false,12
table-gateleg,Gateleg Table,tables,"drop leaf table, small dining table",1.0,false,false,true,30
table-pub,Pub Table Set,tables,"bar set, high table set",1.2,true,false,false,35
stool-bar,Bar Stool,tables,"kitchen island stool, counter stool",0.3,false,false,false,10
stool-kitchen,Kitchen Stool,tables,"step stool, small stool",0.2,false,false,false,8
table-craft,Craft Table,tables,"hobby table, sewing table",1.0,false,false,false,26
table-gaming,Gaming Table,tables,"computer gaming desk",1.2,true,false,true,32
table-dining-extendable,Extendable Dining Table,tables,"drop leaf table, expanding table",1.8,true,false,true,65
table-dining-round,Round Dining Table,tables,"circular table, kitchen table",1.6,true,false,true,52
table-dining-square,Square Dining Table,tables,"square dining, breakfast table",1.4,true,false,true,45
table-dining-glass,Glass Dining Table,tables,"glass top table, modern table",1.6,true,true,true,60
table-dining-pub,Pub Dining Table,tables,"high top table, bar table",1.0,false,false,false,30
table-dining-formal,Formal Dining Table,tables,"traditional table, oak table",2.0,true,false,true,70
table-end,End Table,tables,"side table, lamp table",0.4,false,false,false,14
table-occasional,Occasional Table,tables,"decorative table, accent table",0.5,false,false,false,16
table-side,Small Side Table,tables,"bedside table, end table",0.3,false,false,false,10
table-sofa,Sofa Table,tables,"console behind sofa, hallway table",0.8,false,false,false,22
table-tea,Tea Table,tables,"tea cart, serving table",0.6,false,false,false,18
table-tilt-top,Tilt Top Table,tables,"tilting table, space saver",0.7,false,false,true,20
table-work,Work Table,tables,"utility table, hobby table",1.2,false,false,false,30
desk-adjustable-standing,Adjustable Standing Desk,tables,"standing desk, electric desk",1.4,true,false,true,75
desk-corner,Corner Desk,tables,"L-shaped desk, computer corner",1.6,true,false,true,55
desk-executive,Executive Desk,tables,"large office desk, manager desk",2.0,true,false,true,85
desk-l-shaped,L-Shaped Desk,tables,"corner workstation, office L-desk",1.8,true,false,true,70
desk-reception,Reception Desk,tables,"front desk, office reception",2.2,true,false,true,90
desk-roll-top,Roll Top Desk,tables,"secretary desk, antique desk",1.4,true,false,true,65
desk-school,School Desk,tables,"student desk, writing desk",0.8,false,false,false,25
desk-computer,Computer Desk,tables,"pc desk, workstation",1.2,true,false,true,40
desk-drafting,Drafting Table,tables,"drawing table, artist desk",1.4,true,false,true,60
desk-gaming,Gaming Desk,tables,"gamer desk, computer gaming",1.2,true,false,true,45
desk-writing-antique,Antique Writing Desk,tables,"vintage desk, old desk",1.4,true,false,true,70
stool-adjustable,Adjustable Stool,tables,"office stool, task stool",0.3,false,false,false,12
stool-counter,Counter Stool,tables,"breakfast bar stool, kitchen stool",0.3,false,false,false,12
stool-folding,Folding Stool,tables,"camp stool, portable stool",0.2,false,false,false,8
stool-step,Step Stool,tables,"kitchen step, small ladder",0.3,false,false,false,10
stool-upholstered,Upholstered Stool,tables,"padded stool, seat stool",0.3,false,false,false,12
chair-accent,Accent Chair,tables,"side chair, occasional chair",0.4,false,false,false,15
chair-arm,Armchair,tables,"upholstered chair, living room chair",0.6,false,false,false,20
chair-bentwood,Bentwood Chair,tables,"vienna chair, cafe chair",0.3,false,false,false,12
chair-captains,Captain's Chair,tables,"office chair, wooden armchair",0.4,false,false,false,16
chair-dining,Dining Chair,tables,"kitchen chair, table chair",0.3,false,false,false,12
chair-director,Director's Chair,tables,"folding canvas chair, campaign chair",0.3,false,false,false,14
chair-folding,Folding Chair,tables,"foldable chair, camping chair",0.2,false,false,false,8
chair-guest,Guest Chair,tables,"occasional chair, spare chair",0.3,false,false,false,12
chair-kitchen,Kitchen Chair,tables,"dining chair, breakfast chair",0.3,false,false,false,12
chair-lounge,Lounge Chair,tables,"reading chair, comfortable chair",0.7,false,false,false,25
chair-office,Office Chair,tables,"desk chair, swivel chair",0.5,false,false,false,18
chair-padded,Padded Chair,tables,"upholstered seat, soft chair",0.4,false,false,false,15
chair-parson,Parson's Chair,tables,"dining armchair, square chair",0.4,false,false,false,16
chair-rocking,Rocking Chair,tables,"rocker, nursery chair",0.6,false,false,false,22
chair-side,Side Chair,tables,"armless chair, dining chair",0.3,false,false,false,12
chair-sliped,Slipcovered Chair,tables,"slipcover chair, washable chair",0.5,false,false,false,20
chair-stackable,Stacking Chair,tables,"stack chair, event chair",0.3,false,false,false,10
chair-wingback,Wingback Chair,tables,"wing chair, traditional armchair",0.8,false,false,false,30
bench-dining,Dining Bench,tables,"kitchen bench, table bench",1.0,false,false,false,28
bench-hall,Hall Bench,tables,"entryway bench, shoe bench",0.8,false,false,false,22
bench-kitchen,Kitchen Bench,tables,"breakfast nook bench, banquette",1.2,false,false,false,35
bench-piano,Piano Bench,tables,"keyboard bench, music stool",0.4,false,false,false,14
bench-storage,Storage Bench,tables,"seat with storage, toy box bench",0.9,false,false,false,26
trampoline,Trampoline (disassembled),outdoor,"trampoline, garden trampoline",1.8,true,false,true,45
swing-seat,Swing Seat (3-person),outdoor,"swing seat, garden swing",1.6,true,false,false,40
gazebo,Gazebo (disassembled),outdoor,"garden gazebo, outdoor shelter",2.0,true,false,true,55
shed-small,Garden Shed (panels),outdoor,"garden shed, storage shed",3.0,true,false,true,85
greenhouse,Greenhouse (panels),outdoor,"greenhouse, garden greenhouse",2.5,true,true,true,75
hot-tub,Hot Tub,outdoor,"jacuzzi, spa, hot tub",4.0,true,false,true,120
garden-furniture-set,Garden Furniture Set,outdoor,"patio set, outdoor dining set",1.8,true,false,false,48
parasol,Garden Parasol,outdoor,"garden umbrella, patio umbrella",0.4,false,false,false,12
lawnmower,Lawnmower,outdoor,"grass cutter, lawn mower",0.8,false,false,false,22
power-tools,Power Tool Set,outdoor,"drill set, tool kit",0.4,false,false,false,15
garden-swing,Garden Swing (frame),outdoor,"kids swing set, a-frame swing",2.2,true,false,true,60
climbing-frame,Children's Climbing Frame,outdoor,"play frame, jungle gym",2.5,true,false,true,70
sandpit,Sandpit,outdoor,"sand box",0.8,false,false,false,18
wheelbarrow,Wheelbarrow,outdoor,"garden barrow",0.6,false,false,false,15
compost-bin,Compost Bin,outdoor,"composter",0.5,false,false,false,12
water-butt,Water Butt (full),outdoor,"rain barrel",0.7,true,false,false,16
garden-sculpture,Garden Sculpture,outdoor,"stone ornament, metal art",0.6,true,true,false,25
planters-large,Large Garden Planters,outdoor,"pots, troughs, ceramic pot",0.5,false,false,false,12
bbq-cover,BBQ Cover (Heavy Duty),outdoor,"barbecue cover",0.2,false,false,false,6
bench-garden,Garden Bench (wood/metal),outdoor,"park bench, seating",1.2,true,false,false,30
fire-pit,Fire Pit,outdoor,"chiminea, outdoor fire",0.6,false,false,false,20
log-store,Log Store,outdoor,"wood store, log pile",0.8,false,false,false,18
bicycle-adult,Adult Bicycle,outdoor,"bike, cycle",0.5,false,false,false,15
bicycle-child,Child's Bicycle,outdoor,"kids bike",0.3,false,false,false,10
scooter-adult,Adult Scooter,outdoor,"kick scooter",0.3,false,false,false,10
kayak-canoe,Kayak/Canoe,outdoor,"boat, paddlesport",2.5,true,false,false,65
paddle-board,Paddle Board,outdoor,"sup, stand up paddleboard",1.2,false,false,false,30
golf-clubs,Golf Club Set,outdoor,"golf bag, irons, driver",0.6,false,false,false,20
surfboard,Surfboard,outdoor,"surf board, longboard",1.2,false,true,false,28
garden-shed-large,Large Garden Shed,outdoor,"workshop shed, big shed",4.0,true,false,true,120
garden-office,Garden Office Pod,outdoor,"shed office, summer house",5.0,true,false,true,200
playhouse-child,Children's Playhouse,outdoor,"wendy house, kids cabin",2.5,true,false,true,80
arbour-garden,Garden Arbour,outdoor,"garden arch, seating arbour",1.5,true,false,false,45
pergola,Pergola Kit,outdoor,"garden pergola, shade structure",3.0,true,false,true,100
fence-panel,Fence Panel,outdoor,"garden fence, wooden panel",1.2,true,false,false,25
gate-garden,Garden Gate,outdoor,"wooden gate, metal gate",0.8,true,false,false,22
decking-board,Decking Boards (Bundle),outdoor,"composite decking, wood deck",1.5,true,false,false,40
patio-heater,Patio Heater,outdoor,"outdoor heater, gas heater",0.8,true,false,false,35
bbq-built-in,Built-in BBQ,outdoor,"outdoor kitchen bbq",2.5,true,false,true,110
bbq-portable,Portable BBQ,outdoor,"charcoal bbq, disposable bbq",0.4,false,false,false,15
cool-box-large,Large Cool Box,outdoor,"ice box, cooler chest",0.5,false,false,false,16
garden-kneeler,Garden Kneeler,outdoor,"gardening stool, knee pad",0.2,false,false,false,8
garden-tool-set,Garden Tool Set,outdoor,"rake, spade, fork set",0.5,false,false,false,15
hammock-with-stand,Hammock with Stand,outdoor,"garden hammock, relaxing",1.2,true,false,true,40
hedge-trimmer,Hedge Trimmer,outdoor,"electric trimmer, garden tool",0.3,false,false,false,12
leaf-blower,Leaf Blower,outdoor,"garden blower, vac",0.4,false,false,false,14
patio-set-3piece,3-Piece Patio Set,outdoor,"table and 2 chairs, bistro set",1.2,true,false,false,38
patio-set-5piece,5-Piece Patio Set,outdoor,"table and 4 chairs, dining set",1.8,true,false,false,55
patio-set-7piece,7-Piece Patio Set,outdoor,"sofa set, corner group",2.5,true,false,false,85
picnic-basket,Picnic Basket,outdoor,"hamper, picnic set",0.3,false,false,false,12
plant-pot-large,Large Plant Pot,outdoor,"terracotta pot, ceramic pot",0.4,false,false,false,12
plant-stand,Plant Stand,outdoor,"plant holder, display stand",0.4,false,false,false,12
porch-swing,Porch Swing,outdoor,"hanging swing, bench swing",1.4,true,false,true,45
potting-bench,Potting Bench,outdoor,"garden workbench, plant table",1.2,true,false,false,35
rain-barrel,Rain Barrel,outdoor,"water collector, butt",0.7,true,false,false,18
tv-43-55,"TV 43-55",electronics,"tv, television, 43 inch tv, 55 inch tv, smart tv",0.5,false,true,false,22
tv-65,"TV 65",electronics,"65 tv, large tv, 65 inch tv",0.7,true,true,false,28
tv-75-plus,"TV 75+ (Large)",electronics,"75 inch tv, 85 inch tv, huge tv",1.0,true,true,false,35
tv-stand,TV Stand,electronics,"tv stand, media unit",0.6,false,false,false,15
entertainment-unit,Entertainment Unit,electronics,"tv unit, media cabinet, av unit",1.2,false,false,false,32
sound-system,Sound System (bundle),electronics,"sound system, speakers, subwoofer",0.8,false,true,false,28
soundbar,Soundbar,electronics,"soundbar, tv speaker",0.3,false,false,false,12
speaker-floor,Floor Standing Speaker,electronics,"tower speaker, floor speaker",0.4,false,true,false,16
printer-large,Large Office Printer,electronics,"printer, copier, office printer",1.0,true,false,false,35
printer-home,Home Printer,electronics,"inkjet printer, small printer",0.3,false,false,false,10
